Roll_No,Marital Status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP
805193,0,0,8,9087,1,1,116.8,1,1,3,4,2,132.1,1,1,0,1,1,1,21,0,5,1,7,6,15.286,0,7,2,7,1,12.307,0,14.34,6.47,4.0
283971,1,1,8,9473,1,0,141.4,1,0,2,1,1,128.0,1,0,0,1,0,1,19,1,7,3,7,6,12.588,0,1,2,5,1,15.197,0,10.06,7.46,3.25
201057,0,0,1,9218,1,1,152.4,1,3,3,3,1,129.9,1,1,0,1,0,0,21,1,1,4,2,7,11.575,2,2,2,6,2,10.928,0,14.76,6.93,3.1
282005,1,0,15,9403,1,1,147.8,0,4,1,4,0,144.6,0,0,0,1,1,0,25,1,6,4,7,7,14.94,0,2,3,7,1,14.921,1,6.89,1.1,2.05
514284,0,0,11,9319,0,0,129.2,1,0,0,2,4,126.0,1,0,1,0,0,0,20,1,7,1,2,7,11.206,1,2,3,5,5,12.617,0,9.74,9.38,4.38
150763,0,1,1,9394,1,1,102.6,1,2,2,1,1,123.7,1,1,1,0,0,1,18,0,3,2,4,4,12.415,0,6,1,6,1,12.791,2,6.89,0.52,2.54
888611,0,0,4,9442,1,1,160.4,1,1,0,0,4,138.6,1,0,1,0,0,1,24,0,1,6,1,3,12.917,2,3,4,5,6,16.265,1,5.35,5.08,2.45
631501,1,0,5,9621,1,1,101.5,1,2,3,3,4,105.8,1,1,0,1,1,1,19,1,2,4,7,4,12.943,0,4,6,6,4,10.409,1,5.66,8.4,2.41
592508,1,1,5,9079,0,0,136.0,0,4,1,4,3,143.6,1,0,1,0,1,0,29,1,3,3,6,7,14.211,2,7,6,5,4,14.474,1,7.46,8.16,3.12
908720,0,0,14,9535,0,0,133.1,1,4,2,4,2,137.8,0,0,1,1,0,0,27,0,6,4,4,5,12.848,2,4,5,4,1,11.012,0,11.07,3.44,4.05
691343,0,1,9,9326,0,0,176.9,1,3,4,2,2,165.1,0,0,0,1,1,0,26,1,5,5,6,6,16.137,2,2,7,1,2,16.901,1,10.14,4.3,3.97
872080,0,1,9,9825,0,1,133.8,0,2,2,4,3,144.9,1,1,1,1,1,1,20,1,3,6,6,7,16.642,0,2,4,3,1,12.694,2,5.01,5.55,4.28
